Date,WYNN,FIS,VLO,MRK,DTE,REGN,YUM,HST,AES,XOM,NEE,HAL,IVZ,LOW,WEC,XEL,CDNS,BXP,TURN,FLWS
2006-01-03 00:00:00,53.95000076293945,41.040000915527344,49.689212799072266,31.25,37.20851135253906,15.899999618530273,16.80445671081543,18.776308059692383,16.200000762939453,58.470001220703125,10.515000343322754,32.66999816894531,15.869999885559082,33.53499984741211,19.950000762939453,18.56999969482422,16.950000762939453,75.36000061035156,43.16999816894531,6.360000133514404
2006-01-04 00:00:00,53.849998474121094,41.04999923706055,50.19195556640625,31.612594604492188,37.11489486694336,15.920000076293945,16.948238372802734,18.551149368286133,16.889999389648438,58.56999969482422,10.515000343322754,33.060001373291016,16.110000610351562,33.119998931884766,20.014999389648438,18.65999984741211,17.280000686645508,75.63999938964844,43.02000045776367,6.389999866485596
2006-01-05 00:00:00,53.529998779296875,42.81999969482422,50.06398391723633,31.66030502319336,36.79999923706055,16.450000762939453,17.670740127563477,18.590307235717773,16.729999542236328,58.279998779296875,10.542499542236328,32.29499816894531,16.6200008392334,32.73500061035156,19.934999465942383,18.649999618530273,17.1200008392334,76.80000305175781,43.31999969482422,6.46999979019165
2006-01-06 00:00:00,54.040000915527344,42.470001220703125,51.08774948120117,31.603052139282227,37.191490173339844,17.0,17.62041664123535,18.84483528137207,17.0,59.43000030517578,10.555000305175781,33.025001525878906,16.93000030517578,32.349998474121094,20.084999084472656,18.719999313354492,17.260000228881836,78.3499984741211,43.04999923706055,6.519999980926514
2006-01-09 00:00:00,56.59000015258789,42.849998474121094,51.41682052612305,32.11832046508789,37.157447814941406,17.1299991607666,17.757009506225586,18.90357208251953,16.709999084472656,59.400001525878906,10.510000228881836,33.31999969482422,16.920000076293945,32.540000915527344,20.174999237060547,18.670000076293945,17.1299991607666,79.41000366210938,44.040000915527344,6.480000019073486
2006-01-10 00:00:00,56.65999984741211,43.400001525878906,51.89213943481445,31.803434371948242,37.08085250854492,16.719999313354492,17.742631912231445,19.089574813842773,16.600000381469727,59.86000061035156,10.4975004196167,34.29999923706055,16.81999969482422,32.970001220703125,20.149999618530273,18.760000228881836,16.860000610351562,79.5,43.650001525878906,6.53000020980835
2006-01-11 00:00:00,58.36000061035156,43.45000076293945,52.056671142578125,31.927480697631836,37.08936309814453,16.290000915527344,17.559310913085938,19.187469482421875,16.549999237060547,60.27000045776367,10.427499771118164,35.04499816894531,17.100000381469727,33.42499923706055,20.174999237060547,18.6200008392334,16.950000762939453,78.36000061035156,44.369998931884766,6.619999885559082
2006-01-12 00:00:00,57.810001373291016,43.04999923706055,52.4680061340332,31.946565628051758,37.14042663574219,15.84000015258789,17.275341033935547,19.373470306396484,16.329999923706055,59.63999938964844,10.385000228881836,34.48500061035156,17.200000762939453,33.16999816894531,20.024999618530273,18.809999465942383,17.200000762939453,77.83999633789062,45.959999084472656,6.639999866485596
2006-01-13 00:00:00,58.349998474121094,43.27000045776367,53.23583221435547,31.937023162841797,37.327659606933594,16.1299991607666,17.271747589111328,19.216838836669922,16.530000686645508,60.970001220703125,10.422499656677246,34.775001525878906,17.15999984741211,33.119998931884766,20.045000076293945,18.81999969482422,17.25,76.91000366210938,46.13999938964844,6.599999904632568
2006-01-17 00:00:00,56.900001525878906,43.099998474121094,55.0,31.68893051147461,37.514892578125,15.949999809265137,17.059669494628906,19.255996704101562,16.40999984741211,61.540000915527344,10.484999656677246,35.0,17.06999969482422,32.665000915527344,20.15999984741211,19.030000686645508,17.25,76.68000030517578,46.59000015258789,6.579999923706055
2006-01-18 00:00:00,55.61000061035156,43.0,53.985374450683594,31.517175674438477,37.429786682128906,15.770000457763672,17.156721115112305,19.187469482421875,16.760000228881836,60.68000030517578,10.654999732971191,34.70000076293945,16.719999313354492,32.32500076293945,20.155000686645508,19.079999923706055,17.209999084472656,76.0,46.59000015258789,6.590000152587891
2006-01-19 00:00:00,55.4900016784668,43.720001220703125,55.04570388793945,31.793893814086914,37.327659606933594,16.469999313354492,17.250179290771484,19.393049240112305,17.68000030517578,61.5,10.8100004196167,35.875,17.020000457763672,32.35499954223633,20.40999984741211,19.1299991607666,17.239999771118164,76.61000061035156,46.40999984741211,6.570000171661377
2006-01-20 00:00:00,58.779998779296875,43.150001525878906,55.13711166381836,31.72709846496582,36.91063690185547,15.5,16.89791488647461,19.255996704101562,17.639999389648438,60.529998779296875,10.6899995803833,37.75,17.559999465942383,31.565000534057617,20.200000762939453,19.030000686645508,16.81999969482422,76.29000091552734,45.33000183105469,6.510000228881836
2006-01-23 00:00:00,57.5099983215332,43.5,55.91407775878906,31.326335906982422,36.808509826660156,15.220000267028809,17.00215721130371,19.275575637817383,17.6200008392334,61.20000076293945,10.512499809265137,38.505001068115234,17.799999237060547,31.6299991607666,20.344999313354492,19.149999618530273,16.729999542236328,76.81999969482422,45.0,6.650000095367432
2006-01-24 00:00:00,57.70000076293945,43.83000183105469,55.118831634521484,31.27862548828125,37.40425491333008,15.109999656677246,17.08842658996582,19.285364151000977,17.56999969482422,60.959999084472656,10.470000267028809,37.974998474121094,18.1200008392334,32.084999084472656,20.469999313354492,19.290000915527344,16.860000610351562,77.58000183105469,44.0099983215332,6.789999961853027
2006-01-25 00:00:00,57.540000915527344,43.93000030517578,53.35466384887695,31.66984748840332,36.39148712158203,15.270000457763672,17.566499710083008,19.158100128173828,17.020000457763672,60.209999084472656,10.3125,37.119998931884766,18.139999389648438,31.895000457763672,20.575000762939453,19.219999313354492,16.59000015258789,77.33999633789062,44.369998931884766,6.909999847412109
